,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,tags,product_color,product_variation_inventory,shipping_option_name,shipping_option_price,countries_shipped_to,inventory_total,has_urgency_banner,origin_country,merchant_title,merchant_rating_count,merchant_rating,feedback,notes
0,16.0,14,100.0,0,3.76,54.0,26.0,8.0,10.0,1.0,9.0,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset",white,50.0,Livraison standard,4.0,34,50,1.0,CN,zgrdejia,568.0,4.12852112676056,0,568
1,8.0,22,20000.0,1,3.45,6135.0,2269.0,1027.0,1118.0,644.0,1077.0,"Mini,womens dresses,Summer,Patchwork,fashion dress,Dress,Mini dress,Women's Fashion,Women S Clothing,backless,party,summer dresses,sleeveless,sexy,Casual",green,50.0,Livraison standard,2.0,41,50,1.0,CN,SaraHouse,17752.0,3.89967327625056,83,17752
2,8.0,43,100.0,0,3.57,14.0,5.0,4.0,2.0,0.0,3.0,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono",leopardprint,1.0,Livraison standard,3.0,36,50,1.0,CN,hxt520,295.0,3.98983050847458,86,295
3,8.0,8,5000.0,1,4.03,579.0,295.0,119.0,87.0,42.0,36.0,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt",black,50.0,Livraison standard,2.0,41,50,0.0,CN,allenfan,23832.0,4.0204347096341095,0,23832
4,2.72,3,100.0,1,3.1,20.0,6.0,4.0,2.0,2.0,6.0,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women",yellow,1.0,Livraison standard,1.0,35,50,1.0,CN,youngpeopleshop,14482.0,4.00158817842839,85,14482
5,3.92,9,10.0,0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit",navyblue,1.0,Livraison standard,1.0,40,50,0.0,CN,zhoulinglinga,65.0,3.5076923076923103,75,65
6,7.0,6,50000.0,0,3.84,6742.0,3172.0,1352.0,971.0,490.0,757.0,"blouse,Women,lace t shirt,summer t-shirts,Lace,Sleeve,Women Blouse,loose shirt,Short Sleeve Blouses,Pure Color,Womens Blouse,Bat,lace shirts,Necks,Women's Fashion,Plus Size,loose t-shirt,Short Sleeve T-Shirt,Fashion,Tops,Shirt",white,50.0,Livraison standard,2.0,31,50,0.0,CN,Unique Li Fashion Shop,10194.0,4.07651559741024,86,10194
7,12.0,11,1000.0,0,3.76,286.0,120.0,56.0,61.0,18.0,31.0,"Jeans,Fashion,tunic,Shirt,Summer,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Women's Fashion,Tunic dress,minishirtdres,Lines,mididre",blue,50.0,Livraison standard,3.0,139,50,0.0,CN,So Band,342.0,3.6812865497076,0,342
8,11.0,84,100.0,1,3.47,15.0,6.0,2.0,3.0,1.0,3.0,"slim dress,summer dress,womenshortsleevedre,Sleeve,Summer,Dress,slim,short sleeves,Women's Fashion,Shorts,boho dress,slimfitdre,Fashion,Casual",black,50.0,Livraison standard,2.0,36,50,1.0,CN,chenxiangjunjun,330.0,3.8030303030302997,82,330
9,5.78,22,5000.0,0,3.6,687.0,287.0,128.0,92.0,68.0,112.0,"blouse,Summer,Plus Size,Floral print,Necks,Sleeve,summer shirt,Loose,short sleeves,Casual,T Shirts,Shorts,Fashion,Floral,Women,Women's Fashion,Tops,printed",beige,50.0,Livraison standard,2.0,33,50,0.0,CN,Luowei clothe,5534.0,3.9998192988796495,85,5534
10,5.79,5,1000.0,0,3.46,613.0,245.0,101.0,81.0,61.0,125.0,"Summer,Plus Size,long dress,plus size dress,Dress,Women's Fashion,maxi dress,Casual,beach dress,Sleeveless dress,summer dresses,women dress,Fashion,loose dress,sleeveless",grey,2.0,Livraison standard,2.0,25,50,1.0,CN,mayuhiao,9470.0,3.95681098204857,84,9470
11,6.0,8,100.0,1,3.31,13.0,3.0,4.0,3.0,0.0,3.0,"Summer,Plus Size,Cotton T Shirt,womens shirt,summer t-shirts,short sleeves,V-neck,T Shirts,Fashion,sexy,Casual,Women,blouse,Shorts,Sleeve,Pure Color,Women's Fashion,Pullovers,Tops",lightblue,2.0,Livraison standard,2.0,40,50,1.0,CN,lanniesdesign,3515.0,3.98378378378378,84,3515
